Source,Target
29461701,67762281
29461701,165420522
29461701,49743084
29461701,107071727
29461701,118363632
29461701,148117617
29461701,186274805
29461701,357147128
29461701,162042489
29461701,506356858
29461701,139599995
29751532,199847776
29751532,270139938
29751532,214844130
29751532,71580199
29751532,103045610
29751532,58978893
29751532,185352206
29751532,97981838
29751532,30330065
29751532,126905809
29751532,56443386
29751532,169228917
29751532,132230294
29751532,83848730
30330065,270139938
30330065,71580199
30330065,103045610
30330065,29751532
30330065,97981838
30330065,126905809
34143544,68603392
34143544,61844097
34143544,80096908
34143544,185352206
34143544,156291087
34143544,97981838
34143544,134448659
34143544,156960531
34143544,164207379
34143544,83848730
34143544,83568283
34143544,175158428
34143544,325902110
34143544,98876195
34143544,85934256
34143544,40753584
34143544,23762493
34143544,88654015
34143544,322889280
34143544,50853951
34143544,21525823
34143544,29461701
34143544,89530569
34143544,58978893
34143544,79850701
34143544,40271055
34143544,40584410
34143544,93327196
34143544,18031725
34143544,169228917
34143544,357147128
34143544,162042489
34143544,56443386
34143544,139599995
34220070,156056633
34220070,83848730
34220070,176366874
34220070,129945820
34891432,53676194
34891432,162666116
34891432,191839048
34891432,89530569
34891432,243783434
34891432,107071727
34891432,216909904
34891432,76718224
34891432,147623823
34891432,148228050
34891432,132933301
34891432,158578428
35953975,227471342
35953975,156291087
35953975,274165750
35953975,83568283
35953975,347339261
35953975,88654015
40271055,68603392
40271055,29461701
40271055,80096908
40271055,325902110
40271055,85934256
40271055,56443386
40271055,132230294
40271055,34143544
40271055,40584410
40271055,93327196
40271055,23762493
40271055,194146366
40271055,88654015
40584410,162666116
40584410,137980939
40584410,80096908
40584410,210636556
40584410,152604052
40584410,132230294
40584410,170337558
40584410,426193177
40584410,83848730
40584410,83568283
40584410,193287071
40584410,53676194
40584410,135979043
40584410,163488426
40584410,178655407
40584410,85934256
40584410,132933301
40584410,169642165
40584410,22171445
40584410,34143544
40584410,71035577
40584410,23762493
40584410,194146366
40584410,21525823
40584410,137147968
40584410,89628482
40584410,123819331
40584410,29461701
40584410,89530569
40584410,17880393
40584410,79850701
40584410,40271055
40584410,126905809
40584410,97513683
40584410,341871317
40584410,177305942
40584410,382355930
40584410,163298395
40584410,219200607
40584410,45050468
40584410,90226154
40584410,144991852
40584410,18031725
40584410,118363632
40584410,437576180
40584410,169228917
40584410,56443386
40584410,139599995
40753584,199847776
40753584,26484449
40753584,98876195
40753584,45050468
40753584,162666116
40753584,29461701
40753584,21525823
40753584,89530569
40753584,17880393
40753584,134448659
40753584,22171445
40753584,132230294
40753584,34143544
40753584,162042489
40753584,83848730
40753584,43149723
40753584,219200607
43149723,26484449
43149723,29461701
43149723,17880393
43149723,210776906
43149723,40753584
43149723,134448659
43149723,22171445
43149723,132230294
43149723,141212886
43149723,162042489
43149723,23762493
43149723,21525823
45050468,29461701
45050468,89530569
45050468,40584410
45050468,58978893
45050468,40753584
45050468,148117617
45050468,97513683
45050468,186274805
45050468,132230294
45050468,162042489
45050468,83848730
45050468,23762493
45050468,21525823
47259093,165420522
47259093,138475435
47259093,80096908
47259093,210636556
47259093,178655407
47259093,71035577
47259093,341871317
47259093,110629301
47259093,22013081
47259093,382355930
47259093,162334011
47259093,219200607
47408138,250281120
47408138,128623811
47408138,147920309
47408138,195740854
47408138,382355930
47408138,93327196
47408138,347339261
50853951,103045610
50853951,164207379
50853951,156960531
50853951,34143544
50853951,155329471
53676194,250281120
53676194,123819331
53676194,34891432
53676194,478821705
53676194,107071727
53676194,216909904
53676194,137603280
53676194,147623823
53676194,148228050
53676194,132933301
53676194,40584410
53676194,158578428
56046250,74269505
56046250,89530569
56046250,163488426
56046250,79850701
56046250,411732593
56046250,56443386
56443386,68603392
56443386,74269505
56443386,56046250
56443386,29751532
56443386,18031725
56443386,40271055
56443386,134448659
56443386,90025108
56443386,169228917
56443386,34143544
56443386,40584410
56443386,139599995
56443386,23762493
56443386,88654015
58978893,199847776
58978893,34143544
58978893,67264131
58978893,45050468
58978893,29751532
