Source,Target
97723,107454659
97723,21782724
97723,13666503
97723,20879560
97723,154122439
97723,56109258
97723,66865352
97723,58024139
97723,4075727
97723,95463632
97723,8653009
97723,90443989
97723,7409881
97723,100956379
97723,21106908
97723,81486045
97723,15286509
97723,7459053
97723,30619889
97723,26913024
97723,32846090
97723,18051339
97723,26337548
97723,15089936
97723,51947796
97723,112931093
97723,3596565
97723,86436123
97723,50508062
97723,15513888
97723,6209826
97723,138715428
97723,40648996
97723,21917994
97723,28418359
97723,3612985
97723,7041342
97723,95754563
97723,23042372
97723,152609097
97723,16308553
97723,85141841
97723,97569111
97723,11190617
97723,18133342
97723,19312992
97723,39563617
97723,73914729
97723,21588331
97723,139688306
97723,94384499
97723,985461
97723,17029497
97723,6332803
97723,84283784
97723,52437389
97723,22362509
97723,65405332
97723,151757209
97723,83616153
97723,39791004
97723,24943009
97723,29473185
97723,58014114
97723,7668140
97723,54677933
97723,103244206
97723,12206511
97723,40753584
97723,31556017
97723,19427760
97723,18026932
97723,20603320
97723,23337401
97723,86407610
97723,12659131
97723,16939452
97723,145590719
97723,12417473
97723,54241730
97723,38382019
97723,23286222
97723,25842129
97723,33876434
97723,30546387
97723,17756631
97723,93596122
97723,37220830
97723,24379873
97723,141052394
97723,50549227
97723,51417586
97723,54381043
97723,33806850
97723,26448388
97723,23804422
97723,38140427
97723,133939724
97723,41812496
97723,70717975
97723,115763736
97723,83202585
97723,17631775
97723,107932195
97723,9251370
97723,28211758
97723,67840565
97723,67420730
97723,118626880
97723,75321922
97723,24881737
97723,140255818
97723,22100555
97723,74461773
97723,25330255
97723,7799380
97723,16886371
97723,45050468
97723,40606309
97723,1983080
97723,95461994
97723,51415668
97723,91050614
97723,18471542
97723,44137084
97723,64971391
97723,8653441
97723,22661761
97723,7862914
97723,588429
97723,112485013
97723,34517656
97723,102197917
97723,14738088
97723,45138605
97723,8473264
97723,19583664
97723,40981168
97723,15303353
97723,40757948
97723,22264510
97723,96627391
97723,22100673
97723,15358658
97723,32887491
97723,27990724
97723,37126853
97723,6623941
97723,39668422
97723,112210634
97723,48730838
97723,48603869
97723,21146333
97723,62814947
97723,84400876
97723,64582384
97723,13122292
97723,17459956
97723,96588543
97723,8520453
97723,3396366
97723,18678548
97723,1084180
97723,16937753
97723,47612699
97723,81251100
97723,36885276
97723,24042270
97723,91765535
97723,141976356
97723,28707633
97723,17509173
97723,32006965
97723,16728894
97723,25205574
97723,25371462
97723,72307528
97723,100795209
97723,16806727
97723,18864972
97723,141259599
97723,37249875
97723,126382934
97723,16620380
97723,49453917
97723,14166876
97723,35201895
97723,10595176
97723,52126567
97723,31284081
97723,14349172
97723,42259319
97723,25027450
97723,8139647
97723,4801409
97723,46889857
97723,30716803
97723,25011084
97723,52470671
97723,71564190
97723,87401376
97723,38575021
97723,91104183
97723,116306874
97723,38099903
97723,15836104
97723,5098440
97723,56832972
97723,8291287
97723,6325208
97723,2491362
97723,17593319
97723,64013294
97723,38122479
97723,27696119
97723,9755643
97723,4815871
97723,12837889
97723,30120964
97723,13661189
97723,71789576
97723,5469195
97723,26584079
97723,7220245
97723,8664086
97723,25533471
97723,8154145
97723,66245667
97723,54615084
97723,125819955
97723,12260419
97723,3132488
97723,3247181
97723,13601870
97723,57324621
97723,124556368
97723,3257425
97723,7781456
97723,5940307
97723,4613199
97723,103935061
97723,47387751
97723,22148210
97723,87567478
97723,9749628
97723,44424318
97723,16950399
97723,818307
97723,33752200
97723,11467918
97723,99773588
97723,136938646
97723,9460889
97723,18750618
97723,21443763
97723,29312180
97723,80981182
97723,50238656
97723,95909059
97723,14486726
97723,87629002
97723,20460750
97723,50937038
97723,23268563
97723,113591514
97723,16114908
97723,12831967
97723,11568353
97723,49106145
97723,145153251
97723,25791720
97723,133342442
97723,30717165
97723,10122477
97723,17673456
97723,146509041
97723,31407351
97723,121269495
97723,29029625
97723,19203328
97723,7179521
97723,3204354
97723,62848256
97723,36826373
97723,53552397
97723,105678098
97723,20069651
97723,10417436
97723,15136035
97723,56613
97723,102225191
97723,21206312
97723,101213480
97723,24274217
97723,23049522
97723,14224692
97723,81206
97723,10890552
97723,17411390
97723,12143934
97723,72174912
97723,3603777
97723,36443466
97723,134180173
97723,110830929
97723,31042898
97723,38200658
97723,77780317
97723,98780514
97723,1494374
97723,32228717
97723,7359854
97723,21929327
97723,22048109
97723,50146675
97723,142976374
97723,115760506
97723,57564540
97723,29873535
97723,88483202
97723,59835783
97723,30619017
97723,8791434
97723,42309010
97723,23555478
97723,20456858
97723,70077852
97723,64251292
97723,146087326
97723,83715486
97723,12770720
97723,131597736
97723,62571946
97723,25511339
97723,34952618
97723,7656877
97723,5477810
97723,53075384
