Source,Target
162042489,246024696
162042489,199847776
162042489,49743084
162042489,76039583
162042489,162334011
162042489,56443386
162042489,382355930
162042489,47259093
162042489,426193177
162042489,45050468
162042489,68603392
162042489,165420522
162042489,134448659
162042489,76718224
162042489,191839048
162042489,80526333
162042489,107071727
162042489,141212886
162042489,22013081
162042489,40271055
162042489,138475435
162042489,43149723
162042489,186274805
162042489,17880393
162042489,23762493
162042489,118363632
162042489,163298395
162042489,148117617
162042489,132230294
162042489,194759959
162042489,29461701
162042489,79850701
162042489,232375018
162042489,88654015
162042489,156056633
162042489,169228917
162042489,58978893
162042489,34143544
162042489,80096908
162042489,89628482
162042489,176366874
162042489,177305942
162042489,129945820
162042489,141078729
162042489,163488426
162042489,21525823
162042489,67762281
162042489,110629301
162042489,210636556
137603280,149061807
137603280,90025108
137603280,97513683
137603280,83848730
137603280,162042489
137603280,26484449
137603280,137980939
137603280,162666116
137603280,135979043
137603280,123819331
137603280,139599995
137603280,194146366
137603280,178655407
137603280,185352206
137603280,18031725
137603280,89530569
137603280,85934256
137603280,90226154
137603280,71035577
137603280,22171445
137603280,219200607
137603280,40584410
137603280,40753584
137603280,341871317
137603280,246024696
137603280,199847776
137603280,49743084
137603280,76039583
137603280,162334011
137603280,56443386
137603280,382355930
137603280,47259093
137603280,426193177
137603280,45050468
137603280,68603392
137603280,165420522
137603280,134448659
137603280,76718224
137603280,191839048
137603280,80526333
137603280,107071727
137603280,141212886
137603280,22013081
137603280,40271055
137603280,138475435
137603280,43149723
137603280,186274805
137603280,17880393
137603280,23762493
137603280,118363632
137603280,163298395
137603280,148117617
137603280,132230294
137603280,194759959
137603280,29461701
137603280,79850701
137603280,232375018
137603280,88654015
137603280,156056633
137603280,169228917
137603280,58978893
137603280,34143544
137603280,80096908
137603280,89628482
137603280,176366874
137603280,177305942
137603280,129945820
137603280,141078729
137603280,163488426
137603280,21525823
137603280,67762281
137603280,110629301
137603280,210636556
26484449,149061807
26484449,90025108
26484449,97513683
26484449,83848730
26484449,162042489
26484449,137603280
26484449,137980939
26484449,162666116
26484449,135979043
26484449,123819331
26484449,139599995
26484449,194146366
26484449,178655407
26484449,185352206
26484449,18031725
26484449,89530569
26484449,85934256
26484449,90226154
26484449,71035577
26484449,22171445
26484449,219200607
26484449,40584410
26484449,40753584
26484449,341871317
26484449,246024696
26484449,199847776
26484449,49743084
26484449,76039583
26484449,162334011
26484449,56443386
26484449,382355930
26484449,47259093
26484449,426193177
26484449,45050468
26484449,68603392
26484449,165420522
26484449,134448659
26484449,76718224
26484449,191839048
26484449,80526333
26484449,107071727
26484449,141212886
26484449,22013081
26484449,40271055
26484449,138475435
26484449,43149723
26484449,186274805
26484449,17880393
26484449,23762493
26484449,118363632
26484449,163298395
26484449,148117617
26484449,132230294
26484449,194759959
26484449,29461701
26484449,79850701
26484449,232375018
26484449,88654015
26484449,156056633
26484449,169228917
26484449,58978893
26484449,34143544
26484449,80096908
26484449,89628482
26484449,176366874
26484449,177305942
26484449,129945820
26484449,141078729
26484449,163488426
26484449,21525823
26484449,67762281
26484449,110629301
26484449,210636556
137980939,149061807
137980939,90025108
137980939,97513683
137980939,83848730
137980939,162042489
137980939,137603280
137980939,26484449
137980939,162666116
137980939,135979043
137980939,123819331
137980939,139599995
137980939,194146366
137980939,178655407
137980939,185352206
137980939,18031725
137980939,89530569
137980939,85934256
137980939,90226154
137980939,71035577
137980939,22171445
137980939,219200607
137980939,40584410
137980939,40753584
137980939,341871317
137980939,246024696
137980939,199847776
137980939,49743084
137980939,76039583
137980939,162334011
137980939,56443386
137980939,382355930
137980939,47259093
137980939,426193177
137980939,45050468
137980939,68603392
137980939,165420522
137980939,134448659
137980939,76718224
137980939,191839048
137980939,80526333
137980939,107071727
137980939,141212886
137980939,22013081
137980939,40271055
137980939,138475435
137980939,43149723
137980939,186274805
137980939,17880393
137980939,23762493
137980939,118363632
137980939,163298395
137980939,148117617
137980939,132230294
137980939,194759959
137980939,29461701
137980939,79850701
137980939,232375018
137980939,88654015
137980939,156056633
137980939,169228917
137980939,58978893
137980939,34143544
137980939,80096908
137980939,89628482
137980939,176366874
137980939,177305942
137980939,129945820
137980939,141078729
137980939,163488426
137980939,21525823
137980939,67762281
137980939,110629301
137980939,210636556
162666116,149061807
162666116,90025108
162666116,97513683
162666116,83848730
162666116,162042489
162666116,137603280
162666116,26484449
162666116,137980939
162666116,135979043
162666116,123819331
162666116,139599995
162666116,194146366
162666116,178655407
162666116,185352206
162666116,18031725
162666116,89530569
162666116,85934256
162666116,90226154
162666116,71035577
162666116,22171445
162666116,219200607
162666116,40584410
162666116,40753584
162666116,341871317
162666116,246024696
162666116,199847776
162666116,49743084
162666116,76039583
162666116,162334011
162666116,56443386
162666116,382355930
162666116,47259093
162666116,426193177
162666116,45050468
162666116,68603392
162666116,165420522
162666116,134448659
162666116,76718224
162666116,191839048
162666116,80526333
162666116,107071727
162666116,141212886
162666116,22013081
162666116,40271055
162666116,138475435
162666116,43149723
162666116,186274805
162666116,17880393
162666116,23762493
162666116,118363632
162666116,163298395
